"cid","count","lat","lng","states","area(km2)","max_distnace_km","st_asgeojson"
4,"268","46.3468074503172172","-119.6357269798470149","{ID,MT,NV,OR,WA}","641221.8018253101","1028.0564078475297","{""type"":""Polygon"",""coordinates"":[[[-116.097796998,41.949891633],[-124.179386007,43.179442712],[-124.232995297,43.383406508],[-124.392588001,47.946207344],[-122.472979439,48.773268355],[-116.321081545,48.702301082],[-112.327023468,48.628509874],[-110.972042078,48.510072169],[-111.260967555,47.491601164],[-112.191992443,45.453027117],[-113.686096682,42.620397286],[-113.781777494,42.534871047],[-116.097796998,41.949891633]]]}"
2,"77","18.2791879014935597","-66.2745057567791909","{PR,VI}","13994.533784557358","181.18833374932984","{""type"":""Polygon"",""coordinates"":[[[-64.751478,17.733195],[-66.61764045,17.997128078],[-66.857596987,18.031300765],[-67.147327525,18.085732297],[-67.152849715,18.180637237],[-67.15088511,18.442809336],[-66.716914971,18.473288479],[-66.065469531,18.455993287],[-64.914717,18.340605],[-64.751478,17.733195]]]}"
5,"31","21.0626610405484226","-157.4366158044516129","{HI}","38086.85314123221","310.8336433125356","{""type"":""Polygon"",""coordinates"":[[[-155.472136038,19.199662538],[-159.670619235,21.960856242],[-159.312875364,22.08782195],[-157.954296698,21.676563792],[-156.489331029,20.884513592],[-155.469829648,20.076173035],[-155.112841874,19.718139702],[-155.472136038,19.199662538]]]}"
7,"20","61.4283347191000550","-149.1065950642000000","{AK}","127886.74802924707","878.1834359521587","{""type"":""Polygon"",""coordinates"":[[[-152.375607731,57.800899983],[-151.550129834,59.652470116],[-151.077826958,60.493169052],[-147.739392817,64.831744708],[-147.662229159,64.829700238],[-147.092624534,64.678406705],[-145.540928,62.108932],[-145.750649147,60.541254774],[-152.375607731,57.800899983]]]}"
11,"6","56.8464652595000667","-133.6972936310000000","{AK}","24402.441588487243","372.7371805267453","{""type"":""Polygon"",""coordinates"":[[[-131.685788419,55.353718689],[-135.354876741,57.051565564],[-134.465152632,58.329079511],[-132.375803899,56.471782387],[-131.685788419,55.353718689]]]}"
10,"5","64.4963331928000800","-161.0029954156000000","{AK}","262296.65332022385","2082.975002631742","{""type"":""Polygon"",""coordinates"":[[[-158.536312298,59.000474761],[-161.784612775,60.78834235],[-165.378188783,64.499122194],[-162.586826252,66.896001624],[-156.72903697,71.297725035],[-158.536312298,59.000474761]]]}"
0,"4","13.9292329342500500","145.0146552985000000","{GU,MP}","606.9734444712391","167.33466045801944","{""type"":""Polygon"",""coordinates"":[[[144.7366118,13.4752103],[145.724472394,15.211634437],[144.823076,13.525133],[144.7366118,13.4752103]]]}"
15,"1","7.3524440000000500","134.4645200000000000","{PW}","0","0","{""type"":""Point"",""coordinates"":[134.46452,7.352444]}"
3,"1","-14.2902420000000000","-170.6857410000000000","{AS}","0","0","{""type"":""Point"",""coordinates"":[-170.685741,-14.290242]}"
1,"1","51.8680050000000000","-176.6402630000000000","{AK}","0","0","{""type"":""Point"",""coordinates"":[-176.640263,51.868005]}"
