"cid","name","address","city","state","zip","latitude","longitude"
17,"KAISER FOUNDATION HOSPITAL - SAN LEANDRO","2500 MERCED STREET","SAN LEANDRO","CA",94577,"37.70640619800000","-122.1646545180000"
14,"KINDRED HOSPITAL PARAMOUNT","16453 SOUTH COLORADO AVENUE","PARAMOUNT","CA",90723,"33.88463186100010","-118.1622670660000"
14,"DEPARTMENT OF STATE HOSPITAL-METROPOLITAN","11401 BLOOMFIELD AVENUE","NORWALK","CA",90650,"33.92803134900000","-118.0679896720000"
6,"PINCKNEYVILLE COMMUNITY HOSPITAL","5383 STATE ROUTE 154","PINCKNEYVILLE","IL",62274,"38.08484600000000","-89.3491079999999"
9,"KINDRED HOSPITAL ROME","320 TURNER MCCALL BOULEVARD","ROME","GA",30165,"34.25971344500000","-85.1802396319999"
9,"UPSON REGIONAL MEDICAL CENTER","801 W GORDON STREET","THOMASTON","GA",30286,"32.88629770100000","-84.3365069879999"
9,"PHOEBE SUMTER MEDICAL CENTER","126 HIGHWAY 280 W","AMERICUS","GA",31719,"32.06696233800010","-84.2560501999999"
9,"ROOSEVELT WARM SPRINGS LTAC HOSPITAL","6135 ROOSEVELT HIGHWAY","WARM SPRINGS","GA",31830,"32.88798074100000","-84.6923449000000"
9,"SOUTHEASTERN REGIONAL MEDICAL CENTER","600 CELEBRATE LIFE PKWY","NEWNAN","GA",30265,"33.38483464600010","-84.7577466920000"
2,"DOCTORS CENTER HOSPITAL SANFERNANDO DE CAROLINA","CALLE FERNANDEZ JUNCOS, EDIFICIO JESUS T. PINEIRO","CAROLINA","PR",984,"18.38044300000010","-65.9557900000000"
6,"BROWN CTY COMMUNITY TREATMENT CENTER","3150 GERSHWIN DRIVE","GREEN BAY","WI",54311,"44.52271226100000","-87.9248270840000"
6,"WHEATON FRANCISCAN WI HEART SPINE AND ORTHO","10000 WEST BLUEMOUND ROAD","WAUWATOSA","WI",53226,"43.03581215200010","-88.0372658230000"
2,"HOSPITAL PSIQUIATRICO DE NINOS YADOLESCENTES","AVE LAUREL 100, URB. SANTA JUANITA","BAYAMON","PR",956,"18.36765566100010","-66.1543912590000"
16,"COMPASS BEHAVIORAL CENTER OF ALEXANDRIA","6410 MASONIC DRIVE","ALEXANDRIA","LA",71301,"31.25219155800000","-92.4819878140000"
16,"OCSHNER ST. ANNE GENERAL HOSPITAL","4608 HIGHWAY 1","RACELAND","LA",70394,"29.70267142400010","-90.5652538980000"
16,"FELICIANA FORENSIC FACILITY","4502 HWY 951","JACKSON","LA",70748,"30.83263568800000","-91.2106604880000"
16,"UNITED MEDICAL HEALTHWEST-NEW ORLEANS","3201 WALL BOULEVARD","GRETNA","LA",70056,"29.86597947400000","-90.0306918500000"
6,"RIPON MEDICAL CENTER","845 PARKSIDE ST","RIPON","WI",54971,"43.83437609200010","-88.8177515290000"
13,"VA MEDICAL CENTER - PROVIDENCE","830 CHALKSTONE AVE","PROVIDENCE","RI",2908,"41.83213908400010","-71.4331495449999"
6,"TOMAH VA MEDICAL CENTER","500 E VETERANS ST","TOMAH","WI",54660,"44.00308068000000","-90.4933190140000"
6,"ASCENSION GOOD SAMARITAN HLTH CTR","601 S CENTER AVE","MERRILL","WI",54452,"45.17563253700010","-89.6818312760000"
17,"RESTPADD PSYCHIATRIC HEALTH FACILITY","2750 EUREKA WAY","REDDING","CA",96001,"40.58659539200000","-122.4119741070000"
17,"THE CHAMPION CENTER","303 SOUTH C STREET","LOMPOC","CA",93436,"34.63537160900010","-120.4521883250000"
9,"STEWART WEBSTER HOSPITAL","580 ALSTON STREET","RICHLAND","GA",31825,"32.08616827000000","-84.6606997740000"
14,"KAISER FND HOSP ONTARIO MEDICAL CENTER CAMPUS","2295 S. VINEYARD AVENUE","ONTARIO","CA",91761,"34.03207956000010","-117.6085993300000"
14,"LOMA LINDA UNIV. MED. CENTER EAST CAMPUS HOSPITAL","25333 BARTON ROAD","LOMA LINDA","CA",92354,"34.04730563500000","-117.2516367760000"
14,"ST. BERNARDINE MEDICAL CENTER","2101 NORTH WATERMAN AVENUE","SAN BERNARDINO","CA",92404,"34.13467235700010","-117.2770199750000"
14,"KAISER FND HOSP - SAN DIEGO","4647 ZION AVENUE","SAN DIEGO","CA",92120,"32.79156257500010","-117.0951595490000"
14,"SCRIPPS GREEN HOSPITAL","10666 NORTH TORREY PINES ROAD","LA JOLLA","CA",92037,"32.89685890100000","-117.2428710700000"
14,"SCRIPPS MEMORIAL HOSPITAL - ENCINITAS","354 SANTA FE DRIVE","ENCINITAS","CA",92024,"33.03734477600010","-117.2841833830000"
14,"SHARP MARY BIRCH HOSPITAL FOR WOMEN AND NEWBORNS","3003 HEALTH CENTER DRIVE","SAN DIEGO","CA",92123,"32.79829577800010","-117.1549778190000"
14,"UC SAN DIEGO HEALTH HILLCREST - HILLCREST MEDICAL CENTER","200 WEST ARBOR DRIVE","SAN DIEGO","CA",92103,"32.75477023300000","-117.1657313840000"
17,"CALIFORNIA PACIFIC MED CTR-CALIFORNIA WEST","3700 CALIFORNIA STREET","SAN FRANCISCO","CA",94118,"37.78650919700000","-122.4560306330000"
17,"CALIFORNIA PACIFIC MED CTR-PACIFIC CAMPUS","2333 BUCHANAN STREET","SAN FRANCISCO","CA",94115,"37.79070453800010","-122.4312945330000"
17,"ST. MARY'S MEDICAL CENTER, SAN FRANCISCO","450 STANYAN STREET","SAN FRANCISCO","CA",94117,"37.77408876000000","-122.4537516420000"
17,"KAISER FND HOSP - SANTA ROSA","401 BICENTENNIAL WAY","SANTA ROSA","CA",95403,"38.47179300600000","-122.7270643600000"
17,"KAISER FND HOSP - REHABILITATION CENTER VALLEJO","975 SERENO DRIVE","VALLEJO","CA",94590,"38.12690208000000","-122.2483773040000"
17,"WOODLAND MEMORIAL HOSPITAL","1325 COTTONWOOD STREET","WOODLAND","CA",95695,"38.66392502400000","-121.7921452490000"
17,"ALTA BATES SUMMIT MED CTR-SUMMIT CAMPUS-SUMMIT","3100 SUMMIT STREET","OAKLAND","CA",94609,"37.82013961100010","-122.2640041500000"
17,"SAN LEANDRO HOSPITAL","13855 EAST 14TH STREET","SAN LEANDRO","CA",94578,"37.71228834700000","-122.1434936890000"
17,"ST. ROSE HOSPITAL","27200 CALAROGA AVENUE","HAYWARD","CA",94545,"37.63344199300010","-122.0879125340000"
17,"ST. JOSEPH'S BEHAVIORAL HEALTH CENTER","2510 NORTH CALIFORNIA STREET","STOCKTON","CA",95204,"37.97659630000000","-121.2910709260000"
17,"ST. JOSEPH'S MEDICAL CENTER OF STOCKTON","1800 NORTH CALIFORNIA STREET","STOCKTON","CA",95204,"37.97046718800000","-121.2881827620000"
14,"FOOTHILL PRESBYTERIAN HOSPITAL-JOHNSTON MEMORIAL","250 SOUTH GRAND AVENUE","GLENDORA","CA",91741,"34.13265457600000","-117.8712597160000"
14,"GLENDALE MEMORIAL HOSPITAL AND HEALTH CENTER","1420 SOUTH CENTRAL AVENUE","GLENDALE","CA",91204,"34.12816562800000","-118.2566431690000"
14,"KAISER FOUNDATION LOS ANGELES MEDICAL CENTER","4867 SUNSET BOULEVARD","LOS ANGELES","CA",90027,"34.09857364900010","-118.2941753310000"
14,"KAISER PERMANENTE PANORAMA CITY","13652 CANTARA STREET","PANORAMA CITY","CA",91402,"34.21856419400010","-118.4302192940000"
14,"PROVIDENCE TARZANA MEDICAL CENTER","18321 CLARK STREET","TARZANA","CA",91356,"34.17039321600000","-118.5319040590000"
14,"SHRINERS HOSPITAL FOR CHILDREN - L.A.","3160 GENEVA STREET","LOS ANGELES","CA",90020,"34.06720477700000","-118.2863920790000"
14,"GARDENS REGIONAL HOSPITAL AND MEDICAL CENTER","21530 SOUTH PIONEER BOULEVARD","HAWAIIAN GARDENS","CA",90716,"33.83364000700000","-118.0796779510000"
17,"ADVENTIST HEALTH CLEARLAKE","15630 18TH AVE - HWY 53","CLEARLAKE","CA",95422,"38.93561885500000","-122.6201445320000"
17,"VALLEY CHILDREN'S HOSPITAL","9300 VALLEY CHILDREN'S PLACE","MADERA","CA",93638,"36.88404783400010","-119.8002424120000"
14,"EISENHOWER MEDICAL CENTER","39-000 BOB HOPE DRIVE","RANCHO MIRAGE","CA",92270,"33.76335206800010","-116.4062410910000"
17,"GOOD SAMARITAN HOSPITAL-SAN JOSE","2425 SAMARITAN DRIVE","SAN JOSE","CA",95124,"37.25207873600000","-121.9465768750000"
17,"KAISER FND HOSP - SANTA CLARA","700 LAWRENCE EXPRESSWAY","SANTA CLARA","CA",95051,"37.33540137500010","-121.9988730470000"
17,"LUCILE SALTER PACKARD CHILDREN'S HOSP. AT STANFORD","725 WELCH ROAD","PALO ALTO","CA",94304,"37.43600457500000","-122.1753900360000"
17,"KAISER FND HOSP - REDWOOD CITY","1100 VETERANS BOULEVARD","REDWOOD CITY","CA",94063,"37.48884783600000","-122.2233901310000"
17,"JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS","2540 EAST STREET","CONCORD","CA",94520,"37.98308957900010","-122.0334967960000"
17,"SUTTER DELTA MEDICAL CENTER","3901 LONE TREE WAY","ANTIOCH","CA",94509,"37.98223445000010","-121.8029785050000"
17,"KAISER FND HOSP - SACRAMENTO","2025 MORSE AVENUE","SACRAMENTO","CA",95825,"38.60179775100000","-121.3931440260000"
17,"SIERRA NEVADA MEMORIAL HOSPITAL","155 GLASSON WAY","GRASS VALLEY","CA",95945,"39.22801629400000","-121.0474997790000"
14,"LA PALMA INTERCOMMUNITY HOSPITAL","7901 WALKER STREET","LA PALMA","CA",90623,"33.84751418100010","-118.0383023320000"
14,"SADDLEBACK MEMORIAL MEDICAL CENTER - SAN CLEMENTE","654 CAMINO DE LOS MARES","SAN CLEMENTE","CA",92673,"33.45706524300000","-117.6501839180000"
17,"FREMONT MEDICAL CENTER","970 PLUMAS STREET","YUBA CITY","CA",95991,"39.14310631900000","-121.6180120220000"
9,"PIEDMONT MOUNTAINSIDE HOSPITAL","1266 EAST CHURCH STREET","JASPER","GA",30143,"34.45824868000010","-84.4129128910000"
9,"ST MARYS HEALTH CARE SYSTEM","1230 BAXTER STREET","ATHENS","GA",30606,"33.94722131700010","-83.4052524589999"
9,"RIDGEVIEW INSTITUTE","3995 SOUTH COBB DRIVE SE","SMYRNA","GA",30080,"33.85644329100010","-84.5110548300000"
13,"WESTERLY HOSPITAL","25 WELLS ST","WESTERLY","RI",2891,"41.36218907500010","-71.8253032410000"
6,"ST MARYS HOSPITAL MADISON","700 SOUTH PARK ST","MADISON","WI",53715,"43.05933846400010","-89.4014292150000"
6,"AURORA PSYCHIATRIC HSPTL","1220 DEWEY AVE","WAUWATOSA","WI",53213,"43.04676509800000","-88.0077164330000"
6,"COLUMBIA CENTER","13125 N PORT WASHINGTON RD","MEQUON","WI",53097,"43.25667792900000","-87.9261579620000"
6,"THEDACARE MEDICAL CENTER BERLIN","225 MEMORIAL DRIVE","BERLIN","WI",54923,"43.97847715400010","-88.9412263600000"
16,"MERCY HOSPITAL ROGERS","2710 RIFE MEDICAL LANE","ROGERS","AR",72758,"36.30899285300010","-94.1829780200000"
12,"ST CROIX REG MED CTR","235 STATE STREET","SAINT CROIX FALLS","WI",54024,"45.40903243100010","-92.6425781170000"
12,"WESTFIELDS HOSPITAL","535 HOSPITAL RD","NEW RICHMOND","WI",54017,"45.11776074800010","-92.5555003780000"
6,"ST NICHOLAS HOSPITAL","3100 SUPERIOR AVE","SHEBOYGAN","WI",53081,"43.76234790100010","-87.7475379550000"
12,"VERNON MEM HSPTL","507 SOUTH MAIN ST","VIROQUA","WI",54665,"43.55167397300000","-90.8883912780000"
14,"PIH HOSPITAL - DOWNEY","11500 BROOKSHIRE AVENUE","DOWNEY","CA",90241,"33.93435179800010","-118.1309039600000"
14,"PROVIDENCE LITTLE COMPANY OF MARY TRANSITIONAL CARE CENTER","4320 MARICOPA STREET","TORRANCE","CA",90503,"33.83934811600010","-118.3597215190000"
14,"LOMA LINDA UNIVERSITY CHILDREN'S HOSPITAL","11234 ANDERSON STREET","LOMA LINDA","CA",92354,"34.05013083200000","-117.2640944550000"
6,"ASCENSION NE WISCONSIN MERCY CAMPUS","500 S OAKWOOD RD","OSHKOSH","WI",54904,"44.01242071700010","-88.6010454930000"
19,"MEDSTAR-GEORGETOWN UNIVERSITY MEDICAL CENTER","3800 RESERVOIR ROAD, NW","WASHINGTON","DC",20007,"38.91195850800010","-77.0752545729999"
9,"ADVENT HEALTH DADE CITY","13100 FORT KING RD","DADE CITY","FL",33525,"28.34796286000010","-82.2007200799999"
9,"DELRAY MEDICAL CENTER","5352 LINTON BLVD","DELRAY BEACH","FL",33484,"26.43719284100010","-80.1277877470000"
9,"POINCIANA MEDICAL CENTER","325 CYPRESS PKWY","KISSIMMEE","FL",34758,"28.14478076300000","-81.4766878550000"
13,"ARBOUR FULLER HOSPITAL","200 MAY STREET","ATTLEBORO","MA",2703,"41.92408384800010","-71.3611225619999"
13,"ARBOUR HUMAN RESOURCE INSTITUTE","227 BABCOCK STREET","BROOKLINE","MA",2146,"42.35077951000010","-71.1212422810000"
9,"ASSENCION ST. VINCENT'S MEDICAL CENTER CLAY COUNTY","1670 ST. VINCENT'S WAY","MIDDLEBURG","FL",32068,"30.10876242800000","-81.8326886920000"
9,"ENCOMPASS HEALTH REHABILITATION HOSPITAL OF OCALA","2275 SW 22ND LANE","OCALA","FL",34471,"29.16587554100000","-82.1623349449999"
13,"NATCHAUG HOSPITAL, INC.","189 STORRS RD","MANSFIELD CENTER","CT",6250,"41.74110391900010","-72.1980114820000"
9,"ENCOMPASS HEALTH REHABILITATION HOSPITAL AT MARTIN HEALTH","5850 SE COMMUNITY DR","STUART","FL",34997,"27.13343729300000","-80.2224558150000"
13,"SHRINERS' HOSPITAL FOR CHILDREN","51 BLOSSOM ST","BOSTON","MA",2114,"42.36309254800010","-71.0663018790000"
13,"SPAULDING REHABILITATION HOSPITAL","300 1ST AVE","BOSTON","MA",2129,"42.37850907600010","-71.0490555460000"
13,"DR JOHN C CORRIGAN MENTAL HEALTH CENTER","49 HILLSIDE STREET","FALL RIVER","MA",2720,"41.70748691300000","-71.1457144650000"
13,"BAY RIDGE HOSPITAL BEVERLY","60 GRANITE STREET","LYNN","MA",1904,"42.47162010600000","-70.9567609310000"
13,"ENCOMPASS HEALTH HOSPITAL OF WESTERN MASS","222 STATE STREET","LUDLOW","MA",1056,"42.15577593700000","-72.4720773380000"
6,"T J HEALTH COLUMBIA","901 WESTLAKE DRIVE","COLUMBIA","KY",42728,"37.09664157300010","-85.2945456500000"
12,"DECATUR COUNTY HOSPITAL","1405 NORTHWEST CHURCH STREET","LEON","IA",50144,"40.75093466500000","-93.7469407720000"
12,"ANDERSON COUNTY HOSPITAL","421 SOUTH MAPLE STREET","GARNETT","KS",66032,"38.27987699500010","-95.2503386540000"
18,"KEARNY COUNTY HOSPITAL","500 THORPE STREET","LAKIN","KS",67860,"37.94659326900010","-101.2519299120000"
12,"OTTAWA COUNTY HEALTH CENTER","215 E 8TH STREET","MINNEAPOLIS","KS",67467,"39.12933196400010","-97.7039442509999"
13,"BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM","148 CHESTNUT STREET","NEEDHAM","MA",2492,"42.27710000000010","-71.2368999999999"
13,"VIBRA HOSPITAL OF SOUTHWESTERN MASSACHUSETTS","4499 ACUSHNET AVENUE","NEW BEDFORD","MA",2745,"41.74072523200000","-70.9457536070000"
13,"NORWOOD HOSPITAL","800 WASHINGTON ROAD","NORWOOD","MA",2062,"42.18900000000010","-71.2021000000000"
13,"SPAULDING REHABILITATION HOSPITAL CAPE COD","311 SERVICE ROAD","SANDWICH","MA",2537,"41.73298449700010","-70.4681028369999"
13,"CAMBRIDGE HEALTH ALLIANCE - SOMERVILLE CAMPUS","230 HIGHLAND AVENUE","SOMERVILLE","MA",2143,"42.39000000000000","-71.1093999999999"
13,"SHRINERS' HOSPITAL FOR CHILDREN","516 CAREW ST","SPRINGFIELD","MA",1104,"42.12131502700000","-72.5923729500000"
8,"MERCY HOSPITAL FORT SMITH","7301 ROGERS AVENUE","FORT SMITH","AR",72903,"35.35586599100000","-94.3520549670000"
8,"HEALTHSOUTH REHABILITATION HOSPITAL OF FORT SMITH","1401 SOUTH J STREET","FORT SMITH","AR",72901,"35.37394030500010","-94.4187544819999"
16,"WHITE COUNTY MEDICAL CENTER - SOUTH CAMPUS","1200 SOUTH MAIN STREET","SEARCY","AR",72143,"35.23409441100010","-91.7310743110000"
16,"WHITE COUNTY MEDICAL CENTER - NORTH CAMPUS","3214 EAST RACE AVENUE","SEARCY","AR",72143,"35.25188604400010","-91.6970011310000"
16,"RIVER VALLEY MEDICAL CENTER","200 NORTH THIRD STREET","DARDANELLE","AR",72834,"35.22047613900000","-93.1572981660000"
16,"BAPTIST HEALTH MEDICAL CENTER - ARKADELPHIA","3050 TWIN RIVERS DRIVE","ARKADELPHIA","AR",71923,"34.12291356600010","-93.0888241630000"
16,"MERCY HOSPITAL BERRYVILLE","214 CARTER STREET","BERRYVILLE","AR",72616,"36.35906210300000","-93.5518257720000"
16,"EUREKA SPRINGS HOSPITAL","24 NORRIS STREET","EUREKA SPRINGS","AR",72632,"36.40016378900000","-93.7442359210000"
16,"SOUTHEAST REHABILITATION HOSPITAL","2729A HWY 65 & 82 S","LAKE VILLAGE","AR",71653,"33.30629396800000","-91.2895899240000"
16,"BRADLEY COUNTY MEDICAL CENTER","404 SOUTH BRADLEY STREET","WARREN","AR",71671,"33.61036413400010","-92.0592548850000"
16,"FIVE RIVER MEDICAL CENTER","2801 MEDICAL CENTER DRIVE","POCAHONTAS","AR",72455,"36.28976027300010","-90.9973876300000"
16,"DALLAS COUNTY MEDICAL CENTER","201 NORTH CLIFTON STREET","FORDYCE","AR",71742,"33.81085539000000","-92.4255876440000"
16,"CRITTENDEN HOSPITAL ASSOCIATION","200 WEST TYLER AVENUE","WEST MEMPHIS","AR",72301,"35.14311023500010","-90.1890985109999"
16,"OUACHITA CO. MEDICAL CENTER","638 CALIFORNIA AVENUE","CAMDEN","AR",71701,"33.57582113000010","-92.8367393299999"
16,"NORTH ARKANSAS REGIONAL MEDICAL CENTER","620 NORTH WILLOW","HARRISON","AR",72601,"36.23653135500010","-93.1091393739999"
16,"STONE COUNTY MEDICAL CENTER","2106 EAST MAIN STREET, HIGHWAY 14 EAST","MOUNTAIN VIEW","AR",72560,"35.85658312600000","-92.0828645349999"
16,"PIGGOTT COMMUNITY HOSPITAL","1206 GORDON DUCKWORTH DRIVE","PIGGOTT","AR",72454,"36.39011947300000","-90.2048379600000"
16,"BAPTIST HEALTH - HEBER SPRINGS","1800 BYPASS ROAD","HEBER SPRINGS","AR",72543,"35.48856957600000","-92.0579811410000"
16,"ST. VINCENT MORRILTON","4 HOSPITAL DRIVE","MORRILTON","AR",72110,"35.16801491200000","-92.7213513170000"
16,"UAMS MEDICAL CENTER","4301 WEST MARKHAM STREET","LITTLE ROCK","AR",72205,"34.74902514600010","-92.3201373140000"
16,"BAPTIST HEALTH MEDICAL CENTER - NORTH LITTLE ROCK","3333 SPRINGHILL DRIVE","LITTLE ROCK","AR",72117,"34.78365488700010","-92.2234091630000"
16,"UNITED METHODIST BEHAVIORAL HEALTH SYSTEMS","1601 MURPHY DRIVE","MAUMELLE","AR",72113,"34.87643566600010","-92.3944132490000"
16,"LEO N. LEVI NATIONAL ARTHRITIS HOSPITAL","300 PROSPECT AVENUE","HOT SPRINGS","AR",71901,"34.50989706500010","-93.0575774890000"
16,"HOT SPRINGS REHABILITATION CENTER","105 RESERVE STREET","HOT SPRINGS","AR",71901,"34.51212501300010","-93.0526078720000"
16,"CHI ST VINCENT HOSPITAL HOT SPRINGS","300 WERNER STREET","HOT SPRINGS","AR",71913,"34.46802567000000","-93.0662704140000"
16,"BAPTIST HEALTH MEDICAL CENTER - HOT SPRING COUNTY","1001 SCHNEIDER DRIVE","MALVERN","AR",72104,"34.35877403800000","-92.7858884010000"
16,"ARKANSAS DEPT. OF CORRECTION-DIAGNOSTIC UNIT","7500 CORRECTIONS CIRCLE","PINE BLUFF","AR",71603,"34.22219142500010","-92.0826860480000"
16,"JEFFERSON REGIONAL MEDICAL CENTER","1600 WEST 40TH AVENUE","PINE BLUFF","AR",71603,"34.18773469100010","-92.0176801950000"
16,"HEALTHSOUTH REHABILITATION HOSPITAL","153 EAST MONTE PAINTER DRIVE","FAYETTEVILLE","AR",72703,"36.10909938400000","-94.1548450380000"
9,"MEMORIAL HEALTH UNIV MED CEN, INC","4700 WATERS AVENUE","SAVANNAH","GA",31404,"32.03053087700000","-81.0888624230000"
16,"VANTAGE POINT OF NORTHWEST ARKANSAS","4253 CROSSOVER ROAD","FAYETTEVILLE","AR",72703,"36.12789075600010","-94.1198514260000"
16,"NORTHWEST MEDICAL CENTER - WILLOW CREEK WOMEN'S HOSPITAL","4301 GREATHOUSE SPRINGS ROAD","SPRINGDALE","AR",72762,"36.13551027000010","-94.1862192249999"
6,"ASCENSION NE WISCONSIN ST. ELIZABETH HOSPITAL","1506 S ONEIDA ST","APPLETON","WI",54915,"44.24825123900010","-88.4025096750000"
8,"MENA REGIONAL HEALTH SYSTEM","311 NORTH MORROW STREET","MENA","AR",71953,"34.58905360100000","-94.2216312430000"
16,"MERCY HOSPITAL BOONEVILLE","880 WEST MAIN STREET","BOONEVILLE","AR",72927,"35.14032192200010","-93.9351706319999"
16,"MERCY HOSPITAL PARIS","500 EAST ACADEMY","PARIS","AR",72855,"35.28929333900000","-93.7248785490000"
16,"CROSSRIDGE COMMUNITY HOSPITAL","310 SOUTH FALLS BOULEVARD","WYNNE","AR",72396,"35.21955791700000","-90.7866405359999"
16,"BAPTIST HEALTH REHABILITATION INSTITUTE","9601 BAPTIST HEALTH DRIVE","LITTLE ROCK","AR",72205,"34.74429608000000","-92.3818160860000"
6,"ASCENSION SACRED HEART REHAB INST","2301 NORTH LAKE DRIVE","MILWAUKEE","WI",53211,"43.06145544300010","-87.8803843790000"
14,"SANTA CRUZ VALLEY HOSPITAL","4455 SOUTH I-19 FRONTAGE RD","GREEN VALLEY","AZ",85622,"31.80657111300010","-111.0100185080000"
16,"BAPTIST HEALTH MEDICAL CENTER-STUTTGART","1703 NORTH BUERKLE ROAD","STUTTGART","AR",72160,"34.51751080300010","-91.5582995420000"
6,"CASEY COUNTY HOSPITAL","187 WOLFORD AVENUE","LIBERTY","KY",42539,"37.31771681200010","-84.9331719130000"
19,"MARCUM AND WALLACE MEMORIAL HOSPITAL","60 MERCY COURT","IRVINE","KY",40336,"37.70619709800010","-83.9772771440000"
19,"HIGHLANDS REGIONAL MEDICAL CENTER","5000 KENTUCKY ROUTE 321","PRESTONSBURG","KY",41653,"37.72901005600000","-82.7673200760000"
6,"NORTON WOMEN'S AND KOSAIR CHILDREN'S HOSPITAL","4001 DUTCHMANS LANE","LOUISVILLE","KY",40207,"38.23533008600000","-85.6329369279999"
13,"CANTON-POTSDAM HOSPITAL","50 LEROY ST","POTSDAM","NY",13676,"44.67651062300010","-74.9821163160000"
6,"SAINTS MARY & ELIZABETH HOSPITAL","1850 BLUEGRASS AVENUE","LOUISVILLE","KY",40215,"38.17826438400000","-85.7939164140000"
6,"THE BROOK - DUPONT","1405 BROWNS LANE","LOUISVILLE","KY",40207,"38.23569663200000","-85.6273409469999"
6,"BAPTIST HEALTH LA GRANGE","1025 NEW MOODY LANE","LAGRANGE","KY",40031,"38.39489019400000","-85.3760651539999"
